Description,Gene_symbol
RING finger protein 129,TRIM60
Tripartite motif-containing protein 60,TRIM60
RING finger protein 33,TRIM60
von Willebrand factor A domain-containing protein 4,COL6A5
Collagen alpha-5(VI) chain,COL6A5
Collagen alpha-1(XXIX) chain,COL6A5
Zinc finger protein 690,ZSCAN29
Zinc finger and SCAN domain-containing protein 29,ZSCAN29
GLIPR1-like protein 2,GLIPR1L2
Meiosis-specific coiled-coil domain-containing protein MEIOC,MEIOC
Meiosis-specific with coiled-coil domain protein,MEIOC
Echinoderm microtubule-associated protein-like 3,EML3
Tubulin polyglutamylase TTLL6,TTLL6
Tubulin--tyrosine ligase-like protein 6,TTLL6
Protein polyglutamylase TTLL6,TTLL6
Zinc finger protein 568,ZNF568
Testis-expressed protein 19,TEX19
Motile sperm domain-containing protein 2,MOSPD2
Immunoglobulin superfamily member 10,IGSF10
Calvaria mechanical force protein 608,IGSF10
Mucin-19,MUC19
Coiled-coil domain-containing protein 185,CCDC185
Adenosine deaminase domain-containing protein 2,ADAD2
Testis nuclear RNA-binding protein-like,ADAD2
Methyltransferase-like protein 19,TRMT44
Probable tRNA (uracil-O(2)-)-methyltransferase,TRMT44
Gametogenetin,GGN
Transmembrane protein C16orf54,C16orf54
G-protein coupled receptor-associated sorting protein 2,GPRASP2
Bardet-Biedl syndrome 12 protein,BBS12
Chaperonin-containing T-complex member BBS12,BBS12
Na(+)/H(+) exchanger 9,SLC9A9
Sodium/hydrogen exchanger 9,SLC9A9
Solute carrier family 9 member 9,SLC9A9
Alpha-L-fucosidase I,FUCA1
Alpha-L-fucoside fucohydrolase 1,FUCA1
Tissue alpha-L-fucosidase,FUCA1
B-cell adapter for phosphoinositide 3-kinase,PIK3AP1
B-cell phosphoinositide 3-kinase adapter protein 1,PIK3AP1
Phosphoinositide 3-kinase adapter protein 1,PIK3AP1
Neurobeachin-like protein 2,NBEAL2
Ferry endosomal RAB5 effector complex subunit 5,GATD1
Parkinson disease 7 domain-containing protein 1,GATD1
Glutamine amidotransferase-like class 1 domain-containing protein 1,GATD1
Zinc finger protein with KRAB and SCAN domains 16,ZNF483
Zinc finger protein 483,ZNF483
Zinc finger protein 579,ZNF579
NK inhibitory receptor,CD300LF
Immunoglobulin superfamily member 13,CD300LF
Immune receptor expressed on myeloid cells 1,CD300LF
CD300 antigen-like family member F,CD300LF
CMRF35-like molecule 1,CD300LF
Tumor suppressor protein,TCHP
Mitochondrial protein with oncostatic activity,TCHP
Trichoplein keratin filament-binding protein,TCHP
Replication stress response regulator SDE2,SDE2
Splicing regulator SDE2,SDE2
Zinc finger protein 535,ZNF18
Zinc finger protein 18,ZNF18
Heart development-specific gene 1 protein,ZNF18
Zinc finger protein with KRAB and SCAN domains 6,ZNF18
Zinc finger protein KOX11,ZNF18
NUDT16-like protein 1,NUDT16L1
Tudor-interacting repair regulator protein,NUDT16L1
Protein syndesmos,NUDT16L1
Diabetes-related ankyrin repeat protein,ANKRD23
Muscle ankyrin repeat protein 3,ANKRD23
Ankyrin repeat domain-containing protein 23,ANKRD23
Endonuclease V,ENDOV
Inosine-specific endoribonuclease,ENDOV
Gastric mucin-6,MUC6
Mucin-6,MUC6
Uncharacterized protein C10orf55,C10orf55
"EGF-like, fibronectin type-III and laminin G-like domain-containing protein",EGFLAM
Pikachurin,EGFLAM
Agrin-like protein,EGFLAM
ALS2 C-terminal-like protein,ALS2CL
ATPase SWSAP1,SWSAP1
ZSWIM7-associated protein 1,SWSAP1
SWS1-associated protein 1,SWSAP1
SWIM-type zinc finger 7-associated protein 1,SWSAP1
Tetra-peptide repeat homeobox-like protein,TPRXL
"Ferrochelatase, mitochondrial",FECH
Protoheme ferro-lyase,FECH
Heme synthase,FECH
110 kDa protein,RBSN
Rabenosyn-5,RBSN
RAB effector RBSN,RBSN
FYVE finger-containing Rab5 effector protein rabenosyn-5,RBSN
Zinc finger FYVE domain-containing protein 20,RBSN
Neuronal growth regulator 1,NEGR1
IgLON family member 4,NEGR1
Zinc finger protein 154,ZNF154
GA-binding protein subunit beta-2,GABPB2
Coiled-coil domain-containing protein 32,CCDC32
Peripheral clock protein,NCKAP5
Nck-associated protein 5,NCKAP5
Zinc finger protein 491,ZNF491
Zinc finger protein ZXDC,ZXDC
ZXD-like zinc finger protein,ZXDC
"Signal peptide, CUB and EGF-like domain-containing protein 3",SCUBE3
Secretory carrier-associated membrane protein 4,SCAMP4
Mitochondrial mRNA pseudouridine synthase RPUSD3,RPUSD3
RNA pseudouridylate synthase domain-containing protein 3,RPUSD3
Diaphanous-related formin-3,DIAPH3
Protein diaphanous homolog 3,DIAPH3
MDia2,DIAPH3
Acyl-CoA:glycine N-acyltransferase-like protein 1,GLYATL1
Glutamine N-acyltransferase,GLYATL1
Glycine N-acyltransferase-like protein 1,GLYATL1
KN motif and ankyrin repeat domain-containing protein 4,KANK4
Ankyrin repeat domain-containing protein 38,KANK4
GTPase IMAP family member 1,GIMAP1
Immunity-associated protein 1,GIMAP1
Cytochrome P450 4X1,CYP4X1
CYPIVX1,CYP4X1
I-kappa-B-zeta,NFKBIZ
IL-1 inducible nuclear ankyrin-repeat protein,NFKBIZ
NF-kappa-B inhibitor zeta,NFKBIZ
Molecule possessing ankyrin repeats induced by lipopolysaccharide,NFKBIZ
Hcam3,PDE1C
"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",PDE1C
clathrin vesicle-associated Sec14 protein 1,CLVS1
Clavesin-1,CLVS1
Cellular retinaldehyde-binding protein-like,CLVS1
Retinaldehyde-binding protein 1-like 1,CLVS1
Zinc finger protein 92,ZNF92
Zinc finger protein HTF12,ZNF92
Disco-interacting protein 2 homolog B,DIP2B
Protein broad-minded,TBC1D32
TBC1 domain family member 32,TBC1D32
Anoctamin-4,ANO4
Transmembrane protein 16D,ANO4
Serine-protein kinase PIKFYVE,PIKFYVE
1-phosphatidylinositol 3-phosphate 5-kinase,PIKFYVE
FYVE finger-containing phosphoinositide kinase,PIKFYVE
Phosphatidylinositol 3-phosphate 5-kinase type III,PIKFYVE
PIKfyve,PIKFYVE
Transcription factor 8,ZEB1
NIL-2-A zinc finger protein,ZEB1
Negative regulator of IL2,ZEB1
Choline transporter-like protein 5,SLC44A5
Solute carrier family 44 member 5,SLC44A5
Metaxin-3,MTX3
C-myc promoter-binding protein,DENND4A
DENN domain-containing protein 4A,DENND4A
Sterile alpha motif domain-containing protein 3,SAMD3
Arsenite-inducible RNA-associated protein-like protein,ZFAND2B
AN1-type zinc finger protein 2B,ZFAND2B
Protein FAM13A,FAM13A
Transmembrane protein 20,SLC35G1
Solute carrier family 35 member G1,SLC35G1
Partner of STIM1,SLC35G1
12S rRNA N(4)-cytidine methyltransferase METTL15,METTL15
Methyltransferase-like protein 15,METTL15
Methyltransferase 5 domain-containing protein 1,METTL15
Overlapping with the m-AAA protease 1 homolog,OMA1
"Metalloendopeptidase OMA1, mitochondrial",OMA1
Metalloprotease-related protein 1,OMA1
Downstream of tyrosine kinase 7,DOK7
Protein Dok-7,DOK7
Proline-rich transmembrane protein 3,PRRT3
RING finger protein 180,RNF180
RING-type E3 ubiquitin transferase RNF180,RNF180
E3 ubiquitin-protein ligase RNF180,RNF180
G-rich sequence factor 1,GRSF1
Transmembrane protein 229B,TMEM229B
Tripartite motif-containing protein 72,TRIM72
Mitsugumin-53,TRIM72
Cysteine-rich motor neuron 2 protein,KCP
Cysteine-rich BMP regulator 2,KCP
Kielin/chordin-like protein 1,KCP
Kielin/chordin-like protein,KCP
MAM domain-containing protein 3,MDGA1
GPI and MAM protein,MDGA1
Glycosylphosphatidylinositol-MAM,MDGA1
Synaptotagmin-2,SYT2
Synaptotagmin II,SYT2
Nucleotide-binding oligomerization domain protein 17,NLRP11
PAAD-and NACHT domain-containing protein 10,NLRP11
"NACHT, LRR and PYD domains-containing protein 11",NLRP11
PYRIN-containing APAF1-like protein 6,NLRP11
Sacsin,SACS
DnaJ homolog subfamily C member 29,SACS
Autophagy-related protein 16-2,ATG16L2
APG16-like 2,ATG16L2
Protein Atg16l2,ATG16L2
WD repeat-containing protein 80,ATG16L2
FERM domain-containing protein 5,FRMD5
mRNA-decapping enzyme 2,DCP2
Nucleoside diphosphate-linked moiety X motif 20,DCP2
Membrane protein FAM174B,FAM174B
ER membrane protein complex subunit 1,EMC1
Tetraspanin-18,TSPAN18
Low-density lipoprotein receptor class A domain-containing protein 3,LDLRAD3
Olfactomedin-like protein 3,OLFML3
hOLF44,OLFML3
HNOEL-iso,OLFML3
PER1-like domain-containing protein 1,PGAP3
Gene coamplified with ERBB2 protein,PGAP3
Post-GPI attachment to proteins factor 3,PGAP3
COS16 homolog,PGAP3
GPI-specific phospholipase A2-like PGAP3,PGAP3
RELT-like protein 1,RELL1
Plasma alpha-L-fucosidase,FUCA2
Alpha-L-fucoside fucohydrolase 2,FUCA2
Mas-related G-protein coupled receptor member F,MRGPRF
G-protein coupled receptor 140,MRGPRF
G-protein coupled receptor 168,MRGPRF
Thrombospondin type-1 domain-containing protein 3,ISM2
Thrombospondin and AMOP domain-containing isthmin-like protein 1,ISM2
Isthmin-2,ISM2
Solute carrier family 29 member 4,SLC29A4
Equilibrative nucleoside transporter 4,SLC29A4
Plasma membrane monoamine transporter,SLC29A4
Calcium channel flower domain-containing protein 1,CACFD1
Calcium channel flower homolog,CACFD1
Fibroblast growth factor-binding protein 3,FGFBP3
Magnesium transporter protein 1,MAGT1
Implantation-associated protein,MAGT1
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,MAGT1
UDP-glucuronosyltransferase 3A2,UGT3A2
DNA damage-regulated autophagy modulator protein 2,DRAM2
Transmembrane protein 77,DRAM2
Aquaporin-11,AQP11
Endometrial bleeding-associated factor,LEFTY2
Transforming growth factor beta-4,LEFTY2
Protein lefty-A,LEFTY2
Left-right determination factor A,LEFTY2
Protein lefty-2,LEFTY2
Left-right determination factor 2,LEFTY2
29kDa cytosolic podoplanin intracellular domain,PDPN
T1-alpha,PDPN
PA2.26 antigen,PDPN
Glycoprotein 36,PDPN
Aggrus,PDPN
Podoplanin,PDPN
Immunoglobulin superfamily member 21,IGSF21
Delta-like protein 3,DLL3
Drosophila Delta homolog 3,DLL3
Solute carrier family 22 member 11,SLC22A11
Organic anion transporter 4,SLC22A11
Organic anion:dicarboxylate exchanger OAT4,SLC22A11
KDEL endoplasmic reticulum protein retention receptor 1,KDELR1
Putative MAPK-activating protein PM23,KDELR1
ER lumen protein-retaining receptor 1,KDELR1
EF-hand calcium-binding domain-containing protein 4A,CRACR2B
Calcium release-activated channel regulator 2B,CRACR2B
Calcium release-activated calcium channel regulator 2B,CRACR2B
Pleckstrin homology-like domain family A member 3,PHLDA3
TDAG51/Ipl homolog 1,PHLDA3
Laminin subunit beta-4,LAMB4
Laminin beta-1-related protein,LAMB4
Disrupted in renal carcinoma protein 2,SLC49A4
Disrupted in renal cancer protein 2,SLC49A4
Solute carrier family 49 member 4,SLC49A4
Serine protease 36,PRSS36
Polyserine protease 2,PRSS36
Polyserase-2,PRSS36
CHL2 antigen,LVRN
Aminopeptidase Q,LVRN
Laeverin,LVRN
Retinoic acid-induced gene 2 protein,GPRC5B
G-protein coupled receptor family C group 5 member B,GPRC5B
A-69G12.1,GPRC5B
Two pore channel protein 1,TPCN1
Two pore calcium channel protein 1,TPCN1
Otogelin-like protein,OTOGL
GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase,ALG2
"Alpha-1,3/1,6-mannosyltransferase ALG2",ALG2
"GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase",ALG2
Asparagine-linked glycosylation protein 2 homolog,ALG2
"GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",ALG2
Protein evenness interrupted homolog,WLS
Protein wntless homolog,WLS
Putative NF-kappa-B-activating protein 373,WLS
Integral membrane protein GPR177,WLS
Transmembrane and tetratricopeptide repeat-containing 3,TMTC3
Protein SMILE,TMTC3
Transmembrane O-mannosyltransferase targeting cadherins 3,TMTC3
Protein O-mannosyl-transferase TMTC3,TMTC3
Procollagen galactosyltransferase 1,COLGALT1
Collagen beta(1-O)galactosyltransferase 1,COLGALT1
Glycosyltransferase 25 family member 1,COLGALT1
Hydroxylysine galactosyltransferase 1,COLGALT1
Acyl-CoA synthetase short-chain family member 3,ACSS3
Leucine-rich repeats and immunoglobulin-like domains protein 3,LRIG3
Repulsive guidance molecule B,RGMB
DRG11-responsive axonal guidance and outgrowth of neurite,RGMB
Zinc finger protein 784,ZNF784
FERM domain-containing protein 8,FRMD8
iRhom tail-associated protein,FRMD8
Band4.1 inhibitor LRP interactor,FRMD8
"Solute carrier family 2, facilitated glucose transporter member 6",SLC2A6
Glucose transporter type 6,SLC2A6
"Metallothionein-like 5, testis-specific",TESMIN
Tesmin,TESMIN
Testis-specific metallothionein-like protein,TESMIN
ELOVL fatty acid elongase 6,ELOVL6
Very long chain 3-oxoacyl-CoA synthase 6,ELOVL6
Long-chain fatty-acyl elongase,ELOVL6
Fatty acyl-CoA elongase,ELOVL6
Very long chain fatty acid elongase 6,ELOVL6
3-keto acyl-CoA synthase ELOVL6,ELOVL6
Very long chain 3-ketoacyl-CoA synthase 6,ELOVL6
Elongation of very long chain fatty acids protein 6,ELOVL6
Fatty acid elongase 2,ELOVL6
Carbonate dehydratase XIV,CA14
Carbonic anhydrase XIV,CA14
Carbonic anhydrase 14,CA14
Zinc finger protein 411,ZNF253
Bone marrow zinc finger 1,ZNF253
Zinc finger protein 253,ZNF253
Taperin,TPRN
Angiopoietin-like protein 2,ANGPTL2
Angiopoietin-related protein 2,ANGPTL2
Nasopharyngeal carcinoma-associated gene 20 protein,UBAP1
Fanconi anemia group J protein,BRIP1
Calcium-transporting ATPase type 2C member 1,ATP2C1
ATP-dependent Ca(2+) pump PMR1,ATP2C1
Ca(2+)/Mn(2+)-ATPase 2C1,ATP2C1
Secretory pathway Ca(2+)-transporting ATPase type 1,ATP2C1
Phosphoinositide-3-kinase-interacting protein 1,PIK3IP1
Kringle domain-containing protein HGFL,PIK3IP1
Monocarboxylate transporter 11,SLC16A11
Solute carrier family 16 member 11,SLC16A11
Phospholipid phosphatase 6,PLPP6
Lipid phosphatase-related protein-B,PLPP6
Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6,PLPP6
Phosphatidic acid phosphatase type 2 domain-containing protein 2,PLPP6
Type 1 polyisoprenoid diphosphate phosphatase,PLPP6
PA-PSP,PLPP6
Presqualene diphosphate phosphatase,PLPP6
Gamma-glutamyltranspeptidase 6,GGT6
Glutathione hydrolase 6 heavy chain,GGT6
Glutathione hydrolase 6 light chain,GGT6
Gamma-glutamyltransferase 6,GGT6
Glutathione hydrolase 6,GGT6
Rapamycin-insensitive companion of mTOR,RICTOR
AVO3 homolog,RICTOR
Progestin and adipoQ receptor family member 3,PAQR3
Progestin and adipoQ receptor family member III,PAQR3
Raf kinase trapping to Golgi,PAQR3
Semaphorin-3D,SEMA3D
Epididymis tissue protein Li 178,PRAP1
Uterine-specific proline-rich acidic protein,PRAP1
Proline-rich acidic protein 1,PRAP1
Cancer/testis antigen 44,TPTE
Tumor antigen BJ-HCC-5,TPTE
Transmembrane phosphatase with tensin homology,TPTE
Putative tyrosine-protein phosphatase TPTE,TPTE
Protein angel homolog 1,ANGEL1
CDC14 cell division cycle 14 homolog C,CDC14C
Dual specificity protein phosphatase CDC14C,CDC14C
Pleckstrin homology-like domain family B member 2,PHLDB2
Protein LL5-beta,PHLDB2
Protein FAM148A,C2CD4A
Nuclear-localized factor 1,C2CD4A
C2 calcium-dependent domain-containing protein 4A,C2CD4A
Mitoregulin,MTLN
Micropeptide regulator of beta-oxidation,MTLN
lncRNA-encoded micropeptide,MTLN
Small integral membrane protein 37,MTLN
Micropeptide in mitochondria,MTLN
Dynein axonemal assembly factor 8,DNAAF8
Dynein axonemal-associated protein 1,DNAAF8
Polyamine oxidase,PAOX
Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,PAOX
Zinc finger protein 543,ZNF543
Leukocyte receptor cluster member 8,LENG8
Apical endosomal glycoprotein,MAMDC4
MAM domain-containing protein 4,MAMDC4
Dardarin,LRRK2
Nuclear receptor ROR-gamma,RORC
RAR-related orphan receptor C,RORC
Nuclear receptor RZR-gamma,RORC
Retinoid-related orphan receptor-gamma,RORC
Nuclear receptor subfamily 1 group F member 3,RORC
Suppressor of variegation 3-9 homolog 2,SUV39H2
Histone-lysine N-methyltransferase SUV39H2,SUV39H2
Lysine N-methyltransferase 1B,SUV39H2
Histone H3-K9 methyltransferase 2,SUV39H2
Transmembrane protein 175,TMEM175
Potassium channel TMEM175,TMEM175
Endosomal/lysosomal proton channel TMEM175,TMEM175
Transmembrane protein 151A,TMEM151A
Protein FAM75E1,SPATA31E1
Spermatogenesis-associated protein 31E1,SPATA31E1
Hepatocyte cell adhesion molecule,HEPACAM
Hepatic and glial cell adhesion molecule,HEPACAM
Zinc finger protein 714,ZNF714
Glutamate-rich protein 3,ERICH3
Nogo-66 receptor-related protein 3,RTN4RL1
Reticulon-4 receptor-like 1,RTN4RL1
Nogo-66 receptor homolog 2,RTN4RL1
Nogo receptor-like 2,RTN4RL1
RING finger and SPRY domain-containing protein 1,RSPRY1
Tuberin-like protein 1,RALGAPA1
GAP-related-interacting partner to E12,RALGAPA1
Ral GTPase-activating protein subunit alpha-1,RALGAPA1
GTPase-activating Rap/Ran-GAP domain-like 1,RALGAPA1
E3 ubiquitin-protein ligase UBR3,UBR3
N-recognin-3,UBR3
Ubiquitin-protein ligase E3-alpha-III,UBR3
Ubiquitin-protein ligase E3-alpha-3,UBR3
Zinc finger protein 650,UBR3
RING-type E3 ubiquitin transferase UBR3,UBR3
PDLIM1-interacting kinase 1-like,PDIK1L
Serine/threonine-protein kinase PDIK1L,PDIK1L
Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 4,HS3ST4
Heparan sulfate glucosamine 3-O-sulfotransferase 4,HS3ST4
Hypoxia-inducible factor 1-beta,ARNT
"Dioxin receptor, nuclear translocator",ARNT
Aryl hydrocarbon receptor nuclear translocator,ARNT
Class E basic helix-loop-helix protein 2,ARNT
Mediator of RhoA-dependent invasion,MRI1
Methylthioribose-1-phosphate isomerase,MRI1
Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein,MRI1
S-methyl-5-thioribose-1-phosphate isomerase,MRI1
V-set and immunoglobulin domain-containing protein 3,IGSF11
Brain and testis-specific immunoglobulin superfamily protein,IGSF11
Immunoglobulin superfamily member 11,IGSF11
Transcription factor GTF2IRD2-alpha,GTF2IRD2
General transcription factor II-I repeat domain-containing protein 2A,GTF2IRD2
WD repeat-containing protein 66,CFAP251
Cilia- and flagella-associated protein 251,CFAP251
Protein Nezha,CAMSAP3
Calmodulin-regulated spectrin-associated protein 3,CAMSAP3
EF-hand calcium-binding domain-containing protein 5,EFCAB5
Never in mitosis A-related kinase 8,NEK8
Nima-related protein kinase 12a,NEK8
Serine/threonine-protein kinase Nek8,NEK8
Coiled-coil domain-containing protein 164,DRC1
Dynein regulatory complex protein 1,DRC1
Coiled-coil domain-containing protein 108,CFAP65
Cilia- and flagella-associated protein 65,CFAP65
Fumarylacetoacetate hydrolase domain-containing protein 2B,FAHD2B
"Oxaloacetate tautomerase FAHD2B, mitochondrial",FAHD2B
TBC1 domain family member 14,TBC1D14
Interferon-inducible double-stranded RNA-dependent protein kinase activator A,PRKRA
PKR-associated protein X,PRKRA
"Protein kinase, interferon-inducible double-stranded RNA-dependent activator",PRKRA
Protein activator of the interferon-induced protein kinase,PRKRA
PKR-associating protein X,PRKRA
Zinc finger protein 541,ZNF541
Tripartite motif-containing protein 42,TRIM42
Peroxin-11C,PEX11G
Peroxisomal biogenesis factor 11C,PEX11G
Protein PEX11 homolog gamma,PEX11G
Peroxisomal membrane protein 11C,PEX11G
Zinc finger MYND domain-containing protein 10,ZMYND10
Protein BLu,ZMYND10
Cohesin subunit SA-3,STAG3
Stromal antigen 3,STAG3
SCC3 homolog 3,STAG3
Stromalin-3,STAG3
Striatum-enriched protein-tyrosine phosphatase,PTPN5
Neural-specific protein-tyrosine phosphatase,PTPN5
Tyrosine-protein phosphatase non-receptor type 5,PTPN5
EF-hand calcium-binding domain-containing protein 11,EFCAB11
Epithelial-stromal interaction protein 1,EPSTI1
Very large A-kinase anchor protein,CRYBG3
Beta/gamma crystallin domain-containing protein 3,CRYBG3
Zinc finger protein 320,ZNF320
RING finger protein 154,DTX3
RING-type E3 ubiquitin transferase DTX3,DTX3
Protein deltex-3,DTX3
Probable E3 ubiquitin-protein ligase DTX3,DTX3
Zinc finger protein 610,ZNF610
SH3 multiple domains protein 4,SH3RF3
E3 ubiquitin-protein ligase SH3RF3,SH3RF3
SH3 domain-containing RING finger protein 3,SH3RF3
Plenty of SH3s 2,SH3RF3
Zinc finger protein 11B,ZNF33B
Zinc finger protein 33B,ZNF33B
Zinc finger protein KOX2,ZNF33B
Lymphocyte antigen 6 complex locus protein G5c,LY6G5C
Polypeptide N-acetylgalactosaminyltransferase-like protein 4,GALNT18
Polypeptide GalNAc transferase 18,GALNT18
Polypeptide N-acetylgalactosaminyltransferase 18,GALNT18
Protein-UDP acetylgalactosaminyltransferase-like protein 4,GALNT18
Polypeptide GalNAc transferase-like protein 4,GALNT18
UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4,GALNT18
CLOCK-interacting pacemaker,CIPC
CLOCK-interacting circadian protein,CIPC
Retinoblastoma-binding protein 5,RBBP5
Retinoblastoma-binding protein RBQ-3,RBBP5
nPKC-eta,PRKCH
Protein kinase C eta type,PRKCH
PKC-L,PRKCH
Nuclear envelope phosphatase-regulatory subunit 1,CNEP1R1
Transmembrane protein 188,CNEP1R1
WD repeat-containing protein 35,WDR35
Intraflagellar transport protein 121 homolog,WDR35
Centrosomal protein of 110 kDa,CCP110
Centriolar coiled-coil protein of 110 kDa,CCP110
Poly(A) polymerase beta,PAPOLB
Testis-specific poly(A) polymerase,PAPOLB
Polynucleotide adenylyltransferase beta,PAPOLB
SEC23-related protein A,SEC23A
Protein transport protein Sec23A,SEC23A
G-protein coupled receptor 66,NMUR1
Neuromedin-U receptor 1,NMUR1
G-protein coupled receptor FM-3,NMUR1
Protein O-glucosyltransferase 3,POGLUT3
KDEL motif-containing protein 2,POGLUT3
Protein O-xylosyltransferase POGLUT3,POGLUT3
Choline kinase alpha,CHKA
CHETK-alpha,CHKA
Pleckstrin homology Sec7 and coiled-coil domains-binding protein,CYTIP
Cytohesin binder and regulator,CYTIP
Cytohesin-interacting protein,CYTIP
Cytohesin-binding protein HE,CYTIP
Cytohesin-associated scaffolding protein,CYTIP
Zinc finger protein 257,ZNF257
Bone marrow zinc finger 4,ZNF257
Heat shock 70 kDa protein 13,HSPA13
Heat shock protein family A member 13,HSPA13
Microsomal stress-70 protein ATPase core,HSPA13
Stress-70 protein chaperone microsome-associated 60 kDa protein,HSPA13
Zinc finger protein 550,ZNF550
Zinedin,STRN4
Striatin-4,STRN4
"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",ITPRIPL1
Spermatogenesis-associated protein 16,SPATA16
Testis development protein NYD-SP12,SPATA16
Radial spoke head 10 homolog B2,RSPH10B2
CCAAT-box-binding transcription factor,CEBPZ
CCAAT/enhancer-binding protein zeta,CEBPZ
PCTAIRE-motif protein kinase 2,CDK17
Serine/threonine-protein kinase PCTAIRE-2,CDK17
Cell division protein kinase 17,CDK17
Cyclin-dependent kinase 17,CDK17
Tetratricopeptide repeat protein 17,TTC17
Spermatogenesis-associated protein 46,SPATA46
Lysosome-associated membrane glycoprotein 3,LAMP3
DC-lysosome-associated membrane glycoprotein,LAMP3
Protein TSC403,LAMP3
Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1,SOHLH1
Serine/threonine-protein kinase 33,STK33
Intestine-specific plastin,PLS1
Plastin-1,PLS1
Piwi-like protein 4,PIWIL4
Histone deacetylase 2,HDAC2
Protein deacylase HDAC2,HDAC2
RING finger protein 85,TRAF6
Interleukin-1 signal transducer,TRAF6
E3 ubiquitin-protein ligase TRAF6,TRAF6
TNF receptor-associated factor 6,TRAF6
RING-type E3 ubiquitin transferase TRAF6,TRAF6
Protein PC3b,BTG4
BTG family member 4,BTG4
Protein BTG4,BTG4
Growth/differentiation factor 3,GDF3
Proteoglycan-Lb,EPYC
Dermatan sulfate proteoglycan 3,EPYC
Epiphycan,EPYC
Small chondroitin/dermatan sulfate proteoglycan,EPYC
Endofin,ZFYVE16
Endosome-associated FYVE domain protein,ZFYVE16
Zinc finger FYVE domain-containing protein 16,ZFYVE16
Ran-binding protein 16,XPO7
Exportin-7,XPO7
Protein kinase EPK2,PRKD3
Serine/threonine-protein kinase D3,PRKD3
nPKC-nu,PRKD3
Protein kinase C nu type,PRKD3
eIF-4-gamma II,EIF4G3
Eukaryotic translation initiation factor 4 gamma 3,EIF4G3
Zinc finger protein 683,ZNF683
Tissue-resident T-cell transcription regulator protein ZNF683,ZNF683
Homolog of Blimp-1 in T-cell,ZNF683
LAG1 longevity assurance homolog 3,CERS3
Ceramide synthase 3,CERS3
Dihydroceramide synthase 3,CERS3
Very-long-chain ceramide synthase CERS3,CERS3
Sphingosine N-acyltransferase CERS3,CERS3
Ultra-long-chain ceramide synthase CERS3,CERS3
Activin receptor-like kinase 3,BMPR1A
Bone morphogenetic protein receptor type-1A,BMPR1A
Serine/threonine-protein kinase receptor R5,BMPR1A
Dopamine D5 receptor,DRD5
D1beta dopamine receptor,DRD5
D(5) dopamine receptor,DRD5
D(1B) dopamine receptor,DRD5
E3 ubiquitin-protein ligase RAG1,RAG1
RING finger protein 74,RAG1
Endonuclease RAG1,RAG1
RING-type E3 ubiquitin transferase RAG1,RAG1
Regenerating islet-derived protein 4,REG4
Gastrointestinal secretory protein,REG4
REG-like protein,REG4
Regenerating islet-derived protein IV,REG4
Beta-defensin 114,DEFB114
"Defensin, beta 114",DEFB114
Beta-defensin 14,DEFB114
"Defensin, beta 108B",DEFB108B
Beta-defensin 8,DEFB108B
Beta-defensin 108B,DEFB108B
"Defensin, beta 108",DEFB108B
Tumor antigen BJ-HCC-25,PNMA5
Paraneoplastic antigen-like protein 5,PNMA5
Complement component receptor 1-like protein,CR1L
Complement C4b-binding protein CR-1-like protein,CR1L
Copper chaperone for superoxide dismutase,CCS
Superoxide dismutase copper chaperone,CCS
Casein kinase II alpha 1 polypeptide pseudogene,CSNK2A3
Casein kinase II subunit alpha 3,CSNK2A3
Protein archease,ZBTB8OS
Protein ZBTB8OS,ZBTB8OS
Zinc finger and BTB domain-containing opposite strand protein 8,ZBTB8OS
Maturin,MTURN
Maturin neural progenitor differentiation regulator protein homolog,MTURN
Protein Ells1,MTURN
Ras-related protein Rab-39B,RAB39B
Transmembrane channel-like protein 8,TMC8
Epidermodysplasia verruciformis protein 2,TMC8
Kelch-like protein 21,KLHL21
TNF receptor-associated factor 1,TRAF1
Epstein-Barr virus-induced protein 6,TRAF1
NADH-cytochrome b5 reductase-like,CYB5RL
Brother of CDO,BOC
Mps one binder kinase activator-like 2C,MOB3C
Mob1 homolog 2C,MOB3C
MOB kinase activator 3C,MOB3C
Filamin-A,FLNA
Alpha-filamin,FLNA
Actin-binding protein 280,FLNA
Non-muscle filamin,FLNA
Filamin-1,FLNA
Endothelial actin-binding protein,FLNA
Dendritic cell-specific protein CREA7-1,JAML
Junctional adhesion molecule-like,JAML
Adhesion molecule interacting with CXADR antigen 1,JAML
TRPM8 channel-associated factor 2,TCAF2
TRP channel-associated factor 2,TCAF2
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,BNIP3L
